mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,30,0.06666666666666667,0.018476635327693364,0.2132381772107209,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,3,30,0.2,0.09504978102401235,0.37306047381027446,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,5,30,0.5,0.33153851227173764,0.6684614877282624,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,7,30,0.5666666666666667,0.3919700954540873,0.7262276256938489,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,9,30,0.4666666666666667,0.30232127224128236,0.6385798671847496,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,11,30,0.7333333333333333,0.5555169795568831,0.8581750444608938,0.0,0.0,0.113517091390478,1.0,1.0,1.0
turns,none,13,30,0.7,0.5212387898833981,0.8333543735604105,0.0,0.0,0.113517091390478,1.0,1.0,1.0
