mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,override,1,45,0.17777777777777778,0.0929427892585383,0.3133010684365414,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,2,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,3,45,0.5777777777777777,0.433005327959445,0.7103151201831219,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,4,45,0.5333333333333333,0.3907720886241046,0.6706509605798527,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,5,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,6,45,0.5555555555555556,0.4117588341636533,0.6906129145096089,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,7,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,8,45,0.6888888888888889,0.5433492001245104,0.8047147453645809,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,9,45,0.6666666666666666,0.520702168092554,0.7864130779272324,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,10,45,0.7555555555555555,0.6132633941520986,0.8576466497449071,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,11,45,0.7555555555555555,0.6132633941520986,0.8576466497449071,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,12,45,0.6666666666666666,0.520702168092554,0.7864130779272324,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,override,13,45,0.7555555555555555,0.6132633941520986,0.8576466497449071,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
