mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,75,0.0,0.0,0.04872554590470005,0.0,0.0,0.04872554590470005,1.0,1.0,1.0
turns,none,4,75,0.30666666666666664,0.21386719822895706,0.4183066795208602,0.0,0.0,0.04872554590470005,1.0,1.0,1.0
turns,none,8,75,0.52,0.4087401957316927,0.6293107824321194,0.0,0.0,0.04872554590470005,1.0,1.0,1.0
turns,none,13,75,0.64,0.5270045111400723,0.7393523360066117,0.0,0.0,0.04872554590470005,1.0,1.0,1.0
