mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,45,0.0,0.0,0.07865426194064076,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,2,45,0.0,0.0,0.07865426194064076,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,3,45,0.0,0.0,0.07865426194064076,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,4,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,5,45,0.06666666666666667,0.022931616462147086,0.17856874388640825,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,6,45,0.06666666666666667,0.022931616462147086,0.17856874388640825,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,7,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,8,45,0.06666666666666667,0.022931616462147086,0.17856874388640825,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,9,45,0.022222222222222223,0.003933497522757505,0.11566946388718813,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,10,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,11,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,12,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,13,45,0.06666666666666667,0.022931616462147086,0.17856874388640825,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
