mode,defense,shuffle,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
order,override,0,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,1,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,2,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,3,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,4,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,5,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,6,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,7,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,8,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,9,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,10,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,11,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,12,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,13,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,14,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,15,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,16,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,17,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,18,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
order,override,19,22,0.0,1.3877787807814457e-17,0.14865952572596125,0.0,1.3877787807814457e-17,0.14865952572596125,1.0,1.0,1.0
