mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,50,0.66,0.5215356854148285,0.7756323036493895,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,2,50,0.76,0.6258705062480763,0.8570274759812779,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,3,50,0.76,0.6258705062480763,0.8570274759812779,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,4,50,0.82,0.6920368054529739,0.902299172675462,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,5,50,0.94,0.8378265662912299,0.9793854036353695,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,6,50,0.9,0.7863950966521162,0.956524876008429,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,7,50,0.88,0.7619492111337642,0.9438247628937535,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
turns,none,8,50,0.9,0.7863950966521162,0.956524876008429,0.0,0.0,0.07135003417431873,0.0,0.0,0.0
