mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,45,0.044444444444444446,0.012273869040444335,0.14827779183880616,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,2,45,0.15555555555555556,0.07745325311328675,0.28784190511248803,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,3,45,0.3333333333333333,0.21358692207276764,0.479297831907446,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,4,45,0.4222222222222222,0.28968487981687807,0.566994672040555,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,5,45,0.4,0.27024679447957545,0.5454840579085527,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,6,45,0.3333333333333333,0.21358692207276764,0.479297831907446,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,7,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,8,45,0.5111111111111111,0.3700422432648975,0.6504321064697549,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,9,45,0.4666666666666667,0.3293490394201473,0.6092279113758954,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,10,45,0.5555555555555556,0.4117588341636533,0.6906129145096089,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,11,45,0.4888888888888889,0.3495678935302451,0.6299577567351026,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,12,45,0.6,0.4545159420914473,0.7297532055204246,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,13,45,0.6444444444444445,0.49835546011952203,0.7678110864309596,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
