mode,defense,max_turns,N_total,PSR_mean,PSR_lo,PSR_hi,RA_mean,RA_lo,RA_hi,Loc_mean,Loc_lo,Loc_hi
turns,none,1,45,0.3111111111111111,0.19528525463541907,0.4566507998754897,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,2,45,0.4444444444444444,0.30938708549039107,0.5882411658363468,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,3,45,0.5333333333333333,0.3907720886241046,0.6706509605798527,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,4,45,0.6,0.4545159420914473,0.7297532055204246,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,5,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,6,45,0.6888888888888889,0.5433492001245104,0.8047147453645809,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,7,45,0.6444444444444445,0.49835546011952203,0.7678110864309596,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,8,45,0.6222222222222222,0.4762967000646754,0.7489211470165014,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,9,45,0.6888888888888889,0.5433492001245104,0.8047147453645809,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,10,45,0.6888888888888889,0.5433492001245104,0.8047147453645809,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,11,45,0.7111111111111111,0.5663118252773978,0.8227008196809984,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,12,45,0.7777777777777778,0.637304262026367,0.8745544813399436,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
turns,none,13,45,0.7777777777777778,0.637304262026367,0.8745544813399436,0.0,0.0,0.07865426194064076,1.0,1.0,1.0
